forebrain_12.5	heart_12.5	hindbrain_12.5	limb_12.5	neuraltube_12.5	liver_12.5	midbrain_12.5	forebrain_13.5	heart_13.5	hindbrain_13.5	limb_13.5	neuraltube_13.5	liver_13.5	midbrain_13.5	forebrain_14.5	heart_14.5	hindbrain_14.5	limb_14.5	neuraltube_14.5	liver_14.5	midbrain_14.5	forebrain_15.5	heart_15.5	hindbrain_15.5	limb_15.5	neuraltube_15.5	liver_15.5	midbrain_15.5	forebrain_16.5	heart_16.5	hindbrain_16.5	liver_16.5	midbrain_16.5
H3K36me3_chip_right_intron	0.210408718789269	0.0913126848579814	0.186306610935474	0.180250548609901	0.169720860708923	0.109214089439698	0.18152103162485	0.163910408545144	0.136302880082263	0.126330091706471	0.136050561757431	0.180269539750904	0.135669110409256	0.112071107400548	0.123320897162099	0.200455886730593	0.16509244415798	0.0171342092565844	0.103443780828486	0.0726989853711656	0.153990486318791	0.192577212902193	0.293692965491697	0.115705370674406	0.0373954522622152	0.090710590492851	-0.0140622142109959	0.115145229242519	0.111561546530579	0.180667175325935	0.134861634478505	0.00112569293688493	0.0481725860491527
H3K36me3_chip_right_exon	0.132651416586062	0.024778049849795	0.125845693579579	0.159698363742017	0.156543385979359	0.102970991352901	0.148497335138616	0.138676635759276	0.124284447841454	0.109454037535429	0.116637601896647	0.155135607368948	0.137245216329871	0.0688839704025748	0.117556898015752	0.203989883464476	0.14497121122312	0.0223540001858241	0.123536734843478	0.0854656464861876	0.148902694150403	0.162758623642431	0.166381585119847	0.140742509678713	0.0472486827572651	0.0920115417210262	-0.0273530418872924	0.0726091053711632	0.114434109655061	0.166712551622339	0.139759556854285	0.017037752170392	0.0661559650092622
H3K4me1_chip_left_intron	0.0157960217610973	-0.0638247198847663	0.0193228176254087	0.0165900540053955	0.0373795684177431	0.030207628790365	0.0326433327501415	0.043326557109905	-0.0223764199915206	0.0107357287328162	0.0732178288554285	0.0553481548333418	0.0522457143130535	0.0336136075255636	0.00227893230996661	-0.0238670474892276	0.0412648661136097	0.0354472455325023	0.0317670049874524	0.0390286727622547	0.0244654059638095	0.0576125358686894	0.00972729085095062	0.0461827956477004	0.0494768466263354	0.0187126678232763	-0.0225090239057713	0.0332655295858458	0.0412782012140115	0.0134439932725437	0.0496691405705605	-0.00315785338590374	0.053785986961838
H3K4me1_chip_left_exon	0.0278047425105315	-0.0695240396592665	0.0406617194140199	0.0600350137780701	0.0353982582222309	0.0313731704379771	0.0625047944793249	0.0632467308955069	0.0227099708161078	0.0313041744996168	0.0759676527392522	0.0590602437324395	0.0497462714190173	0.0537956622066579	0.0129414247395401	-0.0532169375376311	0.0353654683002746	0.0459578265670757	0.00919116541064999	0.0309623803394927	0.0438018473628137	0.0735285292451683	0.00299904070039429	0.064148663504198	0.0495321207242735	0.0200520332543499	-0.0314757417429045	0.0466987943058018	0.0306506305529784	0.0171873889745359	0.0382852215189825	-0.00972825831107898	0.0532381735849698
H3K4me1_chip_right_intron	0.0729715018055472	-0.0697401598212683	0.0391771286622435	0.0494062004779358	0.050338851563007	0.0351757541598729	0.0590591855808033	0.0548958049603882	0.030931936126987	0.038489424087348	0.0647016276072326	0.0639564716080044	0.0583918865092822	0.0665511304910394	0.0316377858380604	-0.0216250132617521	0.0558227964390167	0.0441755740478498	0.0356243678725941	0.0469663470314749	0.0435774761070601	0.0692395846536494	0.0326082792809953	0.061956641202252	0.0387763576157412	0.0219741523657412	-0.0270170023999147	0.0574155855915224	0.0594656736265317	0.0342040547798347	0.0512822729076834	-0.00921436354135739	0.0452230500755682
H3K4me1_chip_right_exon	0.0157960217610973	-0.0638247198847663	0.0193228176254087	0.0165900540053955	0.0373795684177431	0.030207628790365	0.0326433327501415	0.043326557109905	-0.0223764199915206	0.0107357287328162	0.0732178288554285	0.0553481548333418	0.0522457143130535	0.0336136075255636	0.00227893230996661	-0.0238670474892276	0.0412648661136097	0.0354472455325023	0.0317670049874524	0.0390286727622547	0.0244654059638095	0.0576125358686894	0.00972729085095062	0.0461827956477004	0.0494768466263354	0.0187126678232763	-0.0225090239057713	0.0332655295858458	0.0412782012140115	0.0134439932725437	0.0496691405705605	-0.00315785338590374	0.053785986961838
H3K4me2_chip_left_intron	0.0340561188396093	-0.0590466361886136	0.0465167090899114	0.0363671699519397	0.03466665499308	0.0389028981318139	0.0178989259354028	0.0432867142700252	-0.00825370267089095	0.0241657907184074	0.0378881319699773	0.0445278567946459	0.0769050979326031	0.0220331214981228	0.0603523030320127	-0.0645132653544167	0.0160402322504118	-0.00114326331648444	-0.00895483631746915	0.0344164105310982	0.0331709314740136	0.0322967778497562	-0.0149419608328635	0.0230816337042769	0.0214147667167368	0.00254993813777643	-0.0146004968113519	0.0288713654747362	0.0345814322807302	-0.0405939130158155	0.0151037884147963	0.000380955265835449	0.0141509373096651
H3K4me2_chip_left_exon	0.038170593446001	-0.0487239089253175	0.049092251531851	0.0492833091896448	0.0391699711760618	0.0397003043439925	0.0203976152395883	0.0577292887764098	0.0032352376100091	0.0312171262561079	0.044259275947476	0.0441669194212177	0.0762571980420522	0.0290631811366911	0.0756844611758606	-0.0624877725999537	0.0179745777971008	-0.00063923009006535	-0.00869135657721493	0.0311004920632838	0.0307005274181342	0.0485686841723346	0.00582168287360823	0.0221777933913646	0.0243997873282368	-0.00211224651762809	-0.0163676804168817	0.0310442554959811	0.0464213644920783	-0.0250002278388245	0.0182801289981673	0.000628699265367481	0.00909422667822429
H3K4me2_chip_right_intron	0.0376509625081903	-0.0374118853404957	0.061182089748564	0.0566832258919613	0.052613007194338	0.0434232665987887	0.0331326788025386	0.0652226261851242	0.00755153870278169	0.0427222609763314	0.0504890619154643	0.0541735474101903	0.0834154823602801	0.0365503328851318	0.111844731020948	-0.0563990112825954	0.0249062490699816	-0.000709636885994015	-0.000477403198366989	0.0403378541482663	0.0422391949640991	0.0622915084573343	0.0178828388576721	0.0288541205524693	0.0284823787878765	0.00964104639188873	-0.00928576873582002	0.0344667865146165	0.0553931025726583	-0.0282830191782673	0.0261722129966432	0.00325464943982239	0.0198734584175441
H3K4me2_chip_right_exon	0.0340561188396093	-0.0590466361886136	0.0465167090899114	0.0363671699519397	0.03466665499308	0.0389028981318139	0.0178989259354028	0.0432867142700252	-0.00825370267089095	0.0241657907184074	0.0378881319699773	0.0445278567946459	0.0769050979326031	0.0220331214981228	0.0603523030320127	-0.0645132653544167	0.0160402322504118	-0.00114326331648444	-0.00895483631746915	0.0344164105310982	0.0331709314740136	0.0322967778497562	-0.0149419608328635	0.0230816337042769	0.0214147667167368	0.00254993813777643	-0.0146004968113519	0.0288713654747362	0.0345814322807302	-0.0405939130158155	0.0151037884147963	0.000380955265835449	0.0141509373096651
